Log file created at  2019-05-03 10:59:43
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='PAC_Bayes_Pentina', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.0, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=1, result_dir='saved_epoch/CIFAR100__comp_PAC_Bayes_Pentina_ntr_1_nte_10_task-w_0.01_meta-w_0', run_name='CIFAR100__comp_PAC_Bayes_Pentina_ntr_1_nte_10_task-w_0.01_meta-w_0', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 1 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 1 tasks
Run finished at:  2019-05-03 11:02:06
MaxPosterior Average Test Error: 27.9%	 Runtime: 135.63382516149431 [sec]
Trained prior saved in saved_epoch/CIFAR100__comp_PAC_Bayes_Pentina_ntr_1_nte_10_task-w_0.01_meta-w_0/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.575 	  Acc: 0.375	 Empiric Loss: 1.575	 Intra-Comp. 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.8727 	  Acc: 0.562	 Empiric Loss: 0.8727	 Intra-Comp. 8.99e-06
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.836 	  Acc: 0.75	 Empiric Loss: 0.836	 Intra-Comp. 1.91e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 1.028 	  Acc: 0.625	 Empiric Loss: 1.028	 Intra-Comp. 2.451e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.9909 	  Acc: 0.562	 Empiric Loss: 0.9909	 Intra-Comp. 3.007e-05
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.9133 	  Acc: 0.562	 Empiric Loss: 0.9133	 Intra-Comp. 3.503e-05
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.3169 	  Acc: 0.875	 Empiric Loss: 0.3169	 Intra-Comp. 4.163e-05
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.7191 	  Acc: 0.688	 Empiric Loss: 0.7191	 Intra-Comp. 4.867e-05
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.6706 	  Acc: 0.75	 Empiric Loss: 0.6706	 Intra-Comp. 5.767e-05
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.5191 	  Acc: 0.875	 Empiric Loss: 0.5191	 Intra-Comp. 6.331e-05
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.182 	  Acc: 0.938	 Empiric Loss: 0.182	 Intra-Comp. 7.164e-05
